,순서,국토종주 자전거길,위도(LINE_XP),경도(LINE_YP),자전거길 이름
0,1,1,37.55737548,126.603468,아라자전거길
1,2,1,37.55563357,126.6057874,아라자전거길
2,3,1,37.55452492,126.6073606,아라자전거길
3,4,1,37.55490635,126.6075829,아라자전거길
4,5,1,37.55520119,126.6078804,아라자전거길
5,6,1,37.55535694,126.6083086,아라자전거길
6,7,1,37.5553483,126.6088131,아라자전거길
7,8,1,37.55525338,126.6093161,아라자전거길
8,9,1,37.55502871,126.6100098,아라자전거길
9,10,1,37.55529303,126.6120167,아라자전거길
10,11,1,37.55582862,126.6169696,아라자전거길
11,12,1,37.55673135,126.6219347,아라자전거길
12,13,1,37.56003322,126.6205404,아라자전거길
13,14,1,37.56046596,126.6221566,아라자전거길
14,15,1,37.56064324,126.6224731,아라자전거길
15,16,1,37.5608358,126.6224928,아라자전거길
16,17,1,37.56358812,126.6213212,아라자전거길
17,18,1,37.56443593,126.6208207,아라자전거길
18,19,1,37.56502182,126.6203118,아라자전거길
19,20,1,37.56526792,126.6213076,아라자전거길
20,21,1,37.56713167,126.6280156,아라자전거길
21,22,1,37.56731616,126.6290147,아라자전거길
22,23,1,37.56862093,126.6340634,아라자전거길
23,24,1,37.56893806,126.6351448,아라자전거길
24,25,1,37.56900507,126.6352249,아라자전거길
25,26,1,37.56918001,126.6353063,아라자전거길
26,27,1,37.56920971,126.635355,아라자전거길
27,28,1,37.56983101,126.6375217,아라자전거길
28,29,1,37.57016365,126.6393785,아라자전거길
29,30,1,37.57025916,126.6403801,아라자전거길
30,31,1,37.57039695,126.6429887,아라자전거길
31,32,1,37.57061191,126.6484948,아라자전거길
32,33,1,37.57150633,126.6602689,아라자전거길
33,34,1,37.57156009,126.6613775,아라자전거길
34,35,1,37.5715223,126.6614464,아라자전거길
35,36,1,37.57152019,126.6615403,아라자전거길
36,37,1,37.57158268,126.6626426,아라자전거길
37,38,1,37.57165282,126.6628205,아라자전거길
38,39,1,37.5717181,126.6632192,아라자전거길
39,40,1,37.57177661,126.6638276,아라자전거길
40,41,1,37.57175494,126.6656034,아라자전거길
41,42,1,37.57169328,126.6666681,아라자전거길
42,43,1,37.57138091,126.6702527,아라자전거길
43,44,1,37.57121058,126.6708248,아라자전거길
44,45,1,37.57113888,126.672023,아라자전거길
45,46,1,37.57116348,126.6726607,아라자전거길
46,47,1,37.57103047,126.6741191,아라자전거길
47,48,1,37.57102366,126.6746399,아라자전거길
48,49,1,37.57083176,126.674999,아라자전거길
49,50,1,37.57065666,126.676551,아라자전거길
50,51,1,37.57044278,126.680092,아라자전거길
51,52,1,37.57069693,126.6805574,아라자전거길
52,53,1,37.57070892,126.6833527,아라자전거길
53,54,1,37.57082961,126.6858686,아라자전거길
54,55,1,37.57087943,126.6861369,아라자전거길
55,56,1,37.57090029,126.6886307,아라자전거길
56,57,1,37.57100763,126.6924011,아라자전거길
57,58,1,37.57234836,126.721549,아라자전거길
58,59,1,37.57232642,126.7226989,아라자전거길
59,60,1,37.57274063,126.7324703,아라자전거길
60,61,1,37.5730362,126.7367977,아라자전거길
61,62,1,37.57298386,126.7372642,아라자전거길
62,63,1,37.57304635,126.7400868,아라자전거길
63,64,1,37.573123,126.7416785,아라자전거길
64,65,1,37.57313977,126.7438619,아라자전거길
65,66,1,37.57324758,126.7460061,아라자전거길
66,67,1,37.57328515,126.746256,아라자전거길
67,68,1,37.57328948,126.746934,아라자전거길
68,69,1,37.57340028,126.749558,아라자전거길
69,70,1,37.57349352,126.7511669,아라자전거길
70,71,1,37.5735676,126.751938,아라자전거길
71,72,1,37.57380152,126.7534795,아라자전거길
72,73,1,37.57368606,126.7540404,아라자전거길
73,74,1,37.57369799,126.7541759,아라자전거길
74,75,1,37.57385282,126.7545916,아라자전거길
75,76,1,37.57384197,126.7555027,아라자전거길
76,77,1,37.57381306,126.7557464,아라자전거길
77,78,1,37.57378058,126.7558614,아라자전거길
78,79,1,37.57347407,126.7564069,아라자전거길
79,80,1,37.57345004,126.7565462,아라자전거길
80,81,1,37.57351358,126.7574079,아라자전거길
81,82,1,37.57369392,126.7585258,아라자전거길
82,83,1,37.57412188,126.7599678,아라자전거길
83,84,1,37.57434778,126.7604663,아라자전거길
